model,target_class,source_set,prompt_style,layer,control,gain,target_marker_rate,content_preserved_rate,target_and_preserved_rate,mean_target_step0_prob,median_target_step0_rank,mean_target_best_prob,median_target_best_rank,target_top1_any_rate,target_top5_any_rate,rows
distilgpt2,ellipsis,confirmatory_hard_heldout,copy_sentence,2,negative_target,1.0,0.0,0.08333333333333333,0.0,7.797044823594963e-05,1104.0,9.153364248959406e-05,805.0,0.0,0.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,copy_sentence,2,none,0.0,0.0,0.4583333333333333,0.0,0.00028754266933598654,406.5,0.00041323187785261933,11.5,0.0,0.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,copy_sentence,2,random_norm,1.0,0.0,0.10416666666666667,0.0,0.0003780794969922378,278.5,0.0012576222391847598,30.0,0.0,0.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,copy_sentence,2,target,1.0,0.7291666666666666,0.22916666666666666,0.125,0.0012915410491890118,71.5,0.5742962771716217,1.0,0.7291666666666666,1.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,copy_sentence,2,wrong_marker,1.0,0.0,0.10416666666666667,0.0,0.0009136061520014968,105.5,0.009733487454165394,8.0,0.0,0.2916666666666667,48
distilgpt2,ellipsis,confirmatory_hard_heldout,repeat_sentence,2,negative_target,1.0,0.0,0.125,0.0,5.2284538545184965e-05,1107.5,0.0001286322119540273,434.0,0.0,0.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,repeat_sentence,2,none,0.0,0.0,0.5416666666666666,0.0,0.0002342095314512941,307.0,0.000589727946438264,21.0,0.0,0.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,repeat_sentence,2,random_norm,1.0,0.0,0.041666666666666664,0.0,0.00038259875471643073,282.5,0.0012632368213871814,43.5,0.0,0.020833333333333332,48
distilgpt2,ellipsis,confirmatory_hard_heldout,repeat_sentence,2,target,1.0,0.8958333333333334,0.22916666666666666,0.14583333333333334,0.00081859315832844,122.5,0.6030222054881355,1.0,0.8958333333333334,1.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,repeat_sentence,2,wrong_marker,1.0,0.0,0.1875,0.0,0.000536246299513247,153.5,0.008776375065887502,7.0,0.0,0.14583333333333334,48
distilgpt2,ellipsis,confirmatory_hard_heldout,same_sentence,2,negative_target,1.0,0.0,0.4166666666666667,0.0,6.518554395521885e-05,757.5,0.0001295258377543481,197.0,0.0,0.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,same_sentence,2,none,0.0,0.0,0.75,0.0,0.00018682852510210068,321.5,0.000684088565321872,14.0,0.0,0.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,same_sentence,2,random_norm,1.0,0.0,0.20833333333333334,0.0,0.0003267860233790998,258.5,0.0013728393381218968,36.5,0.0,0.020833333333333332,48
distilgpt2,ellipsis,confirmatory_hard_heldout,same_sentence,2,target,1.0,0.875,0.3125,0.20833333333333334,0.0009133136099990224,112.0,0.6387328235432506,1.0,0.875,1.0,48
distilgpt2,ellipsis,confirmatory_hard_heldout,same_sentence,2,wrong_marker,1.0,0.0,0.375,0.0,0.0004854773599921221,147.0,0.007691766414306282,6.5,0.0,0.2916666666666667,48
distilgpt2,exclamation,confirmatory_hard_heldout,copy_sentence,2,negative_target,1.0,0.0,0.3541666666666667,0.0,2.6786836357928223e-05,3283.0,4.069762692893164e-05,297.5,0.0,0.0,48
