scale,language,template_id,level,text,marker
affect,en,0,-2,the teacher hates the design today.,hates
affect,en,0,-1,the teacher dislikes the design today.,dislikes
affect,en,0,0,the teacher feels indifferent toward the design today.,indifferent
affect,en,0,1,the teacher likes the design today.,likes
affect,en,0,2,the teacher loves the design today.,loves
affect,en,1,-2,she hates the song during the review.,hates
affect,en,1,-1,she dislikes the song during the review.,dislikes
affect,en,1,0,she feels indifferent toward the song during the review.,indifferent
affect,en,1,1,she likes the song during the review.,likes
affect,en,1,2,she loves the song during the review.,loves
affect,en,2,-2,I hates the proposal in private.,hates
affect,en,2,-1,I dislikes the proposal in private.,dislikes
affect,en,2,0,I feels indifferent toward the proposal in private.,indifferent
affect,en,2,1,I likes the proposal in private.,likes
affect,en,2,2,I loves the proposal in private.,loves
affect,en,3,-2,the artist hates the proposal at the end.,hates
affect,en,3,-1,the artist dislikes the proposal at the end.,dislikes
affect,en,3,0,the artist feels indifferent toward the proposal at the end.,indifferent
affect,en,3,1,the artist likes the proposal at the end.,likes
affect,en,3,2,the artist loves the proposal at the end.,loves
affect,en,4,-2,the teacher hates the proposal during the review.,hates
affect,en,4,-1,the teacher dislikes the proposal during the review.,dislikes
affect,en,4,0,the teacher feels indifferent toward the proposal during the review.,indifferent
affect,en,4,1,the teacher likes the proposal during the review.,likes
affect,en,4,2,the teacher loves the proposal during the review.,loves
affect,en,5,-2,the teacher hates this city after the meeting.,hates
affect,en,5,-1,the teacher dislikes this city after the meeting.,dislikes
affect,en,5,0,the teacher feels indifferent toward this city after the meeting.,indifferent
affect,en,5,1,the teacher likes this city after the meeting.,likes
affect,en,5,2,the teacher loves this city after the meeting.,loves
affect,en,6,-2,I hates the proposal during the review.,hates
affect,en,6,-1,I dislikes the proposal during the review.,dislikes
affect,en,6,0,I feels indifferent toward the proposal during the review.,indifferent
affect,en,6,1,I likes the proposal during the review.,likes
affect,en,6,2,I loves the proposal during the review.,loves
affect,en,7,-2,the researcher hates this film in private.,hates
affect,en,7,-1,the researcher dislikes this film in private.,dislikes
affect,en,7,0,the researcher feels indifferent toward this film in private.,indifferent
affect,en,7,1,the researcher likes this film in private.,likes
affect,en,7,2,the researcher loves this film in private.,loves
affect,en,8,-2,the critic hates the proposal after the meeting.,hates
affect,en,8,-1,the critic dislikes the proposal after the meeting.,dislikes
affect,en,8,0,the critic feels indifferent toward the proposal after the meeting.,indifferent
affect,en,8,1,the critic likes the proposal after the meeting.,likes
affect,en,8,2,the critic loves the proposal after the meeting.,loves
affect,en,9,-2,the artist hates the design during the review.,hates
