model,layer,source_set,source,target,target_class,control,gain,vector_class,prompt,generated,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
gpt2,2,in_template_test,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower?
The oracle built the tower?
The oracle built",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
gpt2,2,in_template_test,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,modality,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"Input: The oracle built the tower.
Output:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"Input: The oracle built the tower.
Output:","The oracle built the tower.

Output: The oracle built the tower.

Output: The oracle built the tower",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"Input: The pirate repaired the satellite.
Output:","The satellite was damaged.
The satellite was damaged?
The satellite was damaged?
The satellite was damaged?
The satellite was damaged",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,133.0
gpt2,2,in_template_test,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,tense_shift,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
Output: The pirate repaired the satellite.
Output: The pirate repaired the satellite.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
gpt2,2,in_template_test,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,in_template_test,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"Input: The vampire found the island.
Output:","The vampire found the island.
The vampire found the island?
The vampire found the island?
The vampire found the island?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,119.0
gpt2,2,in_template_test,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,negation,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,in_template_test,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,in_template_test,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,in_template_test,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,in_template_test,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
The mermaid built the tower?
The mermaid built the tower?
The mermaid built",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,104.0
gpt2,2,in_template_test,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,modality,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,in_template_test,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,in_template_test,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.

Output: The mermaid built the tower.

Output: The mermaid built the tower",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
