model,template_id,pair,op_a,op_b,source,ab_text,ba_text,norm_ab,norm_ba,commutator_norm,relative_commutator_norm,cosine_ab_ba,noncommutativity_score
distilroberta-base,0,NQ_vs_QN,N,Q,The teacher fixed the bug.,Could the teacher fail to fix the bug?,Is it false that the teacher fixed the bug?,2.1507856845855713,2.2069623470306396,1.4257572889328003,0.6543550836753441,0.7862067222595215,0.21379327774047852
distilroberta-base,0,NM_vs_MN,N,M,The teacher fixed the bug.,The teacher allegedly failed to fix the bug.,The teacher failed to allegedly fix the bug.,1.9990431070327759,2.0076987743377686,0.2863236963748932,0.14292095914938774,0.9897962808609009,0.010203719139099121
distilroberta-base,0,NT_vs_TN,N,T,The teacher fixed the bug.,The teacher will fail to fix the bug tomorrow.,The teacher failed to have fixed the bug earlier.,2.077324628829956,2.1997904777526855,1.403066635131836,0.6560808396163139,0.7862434983253479,0.2137565016746521
distilroberta-base,0,QM_vs_MQ,Q,M,The teacher fixed the bug.,Could the teacher allegedly fix the bug?,Is it alleged that the teacher fixed the bug?,1.9470264911651611,2.272728204727173,1.3898929357528687,0.658755323907896,0.7937066555023193,0.20629334449768066
distilroberta-base,0,QT_vs_TQ,Q,T,The teacher fixed the bug.,Could the teacher fix the bug tomorrow?,Will the teacher fix the bug tomorrow?,1.9708549976348877,1.987535834312439,0.6450890898704529,0.3259350161503764,0.9469176530838013,0.05308234691619873
distilroberta-base,0,MT_vs_TM,M,T,The teacher fixed the bug.,The teacher will allegedly fix the bug tomorrow.,The teacher was allegedly going to fix the bug.,1.746313214302063,1.9991604089736938,1.3431111574172974,0.7171916251498829,0.7507967948913574,0.24920320510864258
distilroberta-base,1,NQ_vs_QN,N,Q,The robot accepted the explanation.,Could the robot fail to accept the explanation?,Is it false that the robot accepted the explanation?,2.2162907123565674,2.178555965423584,1.3623439073562622,0.6199733493518667,0.8079497814178467,0.19205021858215332
distilroberta-base,1,NM_vs_MN,N,M,The robot accepted the explanation.,The robot allegedly failed to accept the explanation.,The robot failed to allegedly accept the explanation.,1.817094087600708,1.775537371635437,0.3057921826839447,0.17023298167566073,0.9857760667800903,0.014223933219909668
distilroberta-base,1,NT_vs_TN,N,T,The robot accepted the explanation.,The robot will fail to accept the explanation tomorrow.,The robot failed to have accepted the explanation earlier.,2.109483480453491,2.2310307025909424,1.3572189807891846,0.6253724437027904,0.805870771408081,0.19412922859191895
distilroberta-base,1,QM_vs_MQ,Q,M,The robot accepted the explanation.,Could the robot allegedly accept the explanation?,Is it alleged that the robot accepted the explanation?,1.8589452505111694,2.1386752128601074,1.229393720626831,0.6150627513995877,0.8197591304779053,0.18024086952209473
