model,template_id,pair,label,source,ab_text,ba_text,norm_ab,norm_ba,commutator_norm,relative_commutator_norm,cosine_ab_ba,noncommutativity_score
distilroberta-base,0,N_M_equivalent,equivalent,The teacher fixed the bug.,The teacher allegedly failed to fix the bug.,"Allegedly, the teacher failed to fix the bug.",1.994338870048523,2.503953456878662,1.2826091051101685,0.5702648969395715,0.86128830909729,0.13871169090270996
distilroberta-base,0,M_T_equivalent,equivalent,The teacher fixed the bug.,The teacher will allegedly fix the bug tomorrow.,"Allegedly, the teacher will fix the bug tomorrow.",1.744928002357483,2.3801679611206055,1.370425820350647,0.6644334252987916,0.822482705116272,0.17751729488372803
distilroberta-base,0,Q_M_equivalent,equivalent,The teacher fixed the bug.,Could the teacher allegedly fix the bug?,"Allegedly, could the teacher fix the bug?",1.946472406387329,2.355844736099243,1.2376034259796143,0.5753194778494419,0.8512648940086365,0.14873510599136353
distilroberta-base,0,Q_T_equivalent,equivalent,The teacher fixed the bug.,Will the teacher fix the bug tomorrow?,Could the teacher fix the bug tomorrow?,1.9826667308807373,1.9660850763320923,0.6448267102241516,0.32659774111200307,0.946701169013977,0.05329883098602295
distilroberta-base,0,N_Q_nonequivalent,non_equivalent,The teacher fixed the bug.,Could the teacher fail to fix the bug?,Is it false that the teacher fixed the bug?,2.146498680114746,2.2039802074432373,1.4206351041793823,0.6530936666497246,0.7870463132858276,0.21295368671417236
distilroberta-base,0,N_T_nonequivalent,non_equivalent,The teacher fixed the bug.,The teacher will fail to fix the bug tomorrow.,The teacher failed to have fixed the bug earlier.,2.0721077919006348,2.195021867752075,1.4025088548660278,0.6573546935433486,0.7854238748550415,0.2145761251449585
distilroberta-base,0,M_T_nonequivalent,non_equivalent,The teacher fixed the bug.,The teacher will allegedly fix the bug tomorrow.,The teacher was allegedly going to fix the bug.,1.744928002357483,1.9977492094039917,1.342320203781128,0.7173048210313886,0.7507256269454956,0.2492743730545044
distilroberta-base,0,Q_M_nonequivalent,non_equivalent,The teacher fixed the bug.,Could the teacher allegedly fix the bug?,Is it alleged that the teacher fixed the bug?,1.946472406387329,2.269535541534424,1.390622854232788,0.6596870173917128,0.7929343581199646,0.2070656418800354
distilroberta-base,1,N_M_equivalent,equivalent,The oracle accepted the explanation.,The oracle allegedly failed to accept the explanation.,"Allegedly, the oracle failed to accept the explanation.",1.6686714887619019,2.1627860069274902,1.1199101209640503,0.5845869997114301,0.8600642681121826,0.13993573188781738
distilroberta-base,1,M_T_equivalent,equivalent,The oracle accepted the explanation.,The oracle will allegedly accept the explanation tomorrow.,"Allegedly, the oracle will accept the explanation tomorrow.",1.5427031517028809,2.0835249423980713,1.2119367122650146,0.6684282846056437,0.8170181512832642,0.18298184871673584
distilroberta-base,1,Q_M_equivalent,equivalent,The oracle accepted the explanation.,Could the oracle allegedly accept the explanation?,"Allegedly, could the oracle accept the explanation?",1.7266371250152588,2.228419542312622,1.1352018117904663,0.5740508454240977,0.8652564287185669,0.1347435712814331
distilroberta-base,1,Q_T_equivalent,equivalent,The oracle accepted the explanation.,Will the oracle accept the explanation tomorrow?,Could the oracle accept the explanation tomorrow?,1.7176964282989502,1.711063265800476,0.6783314347267151,0.3956716102873375,0.9217292666435242,0.07827073335647583
distilroberta-base,1,N_Q_nonequivalent,non_equivalent,The oracle accepted the explanation.,Could the oracle fail to accept the explanation?,Is it false that the oracle accepted the explanation?,1.9766558408737183,2.015946626663208,1.3019819259643555,0.6521971253335963,0.7874926924705505,0.21250730752944946
distilroberta-base,1,N_T_nonequivalent,non_equivalent,The oracle accepted the explanation.,The oracle will fail to accept the explanation tomorrow.,The oracle failed to have accepted the explanation earlier.,1.903245210647583,1.986209511756897,1.2509700059890747,0.6432624083691997,0.7939229011535645,0.20607709884643555
distilroberta-base,1,M_T_nonequivalent,non_equivalent,The oracle accepted the explanation.,The oracle will allegedly accept the explanation tomorrow.,The oracle was allegedly going to accept the explanation.,1.5427031517028809,1.8326942920684814,1.2193140983581543,0.7224714236881574,0.7519488334655762,0.24805116653442383
distilroberta-base,1,Q_M_nonequivalent,non_equivalent,The oracle accepted the explanation.,Could the oracle allegedly accept the explanation?,Is it alleged that the oracle accepted the explanation?,1.7266371250152588,2.0015769004821777,1.2418138980865479,0.6661709277380838,0.78783118724823,0.21216881275177002
distilroberta-base,2,N_M_equivalent,equivalent,The robot confirmed the answer.,The robot allegedly failed to confirm the answer.,"Allegedly, the robot failed to confirm the answer.",1.8096688985824585,2.3794424533843994,1.1824480295181274,0.5645340647067707,0.8753436207771301,0.12465637922286987
distilroberta-base,2,M_T_equivalent,equivalent,The robot confirmed the answer.,The robot will allegedly confirm the answer tomorrow.,"Allegedly, the robot will confirm the answer tomorrow.",1.65885329246521,2.2337584495544434,1.3028291463851929,0.6693856118866661,0.815563976764679,0.18443602323532104
distilroberta-base,2,Q_M_equivalent,equivalent,The robot confirmed the answer.,Could the robot allegedly confirm the answer?,"Allegedly, could the robot confirm the answer?",1.8138822317123413,2.303670883178711,1.2082984447479248,0.5869012061447608,0.8540066480636597,0.14599335193634033
distilroberta-base,2,Q_T_equivalent,equivalent,The robot confirmed the answer.,Will the robot confirm the answer tomorrow?,Could the robot confirm the answer tomorrow?,1.9620963335037231,1.8790055513381958,0.650213360786438,0.33855564381253533,0.9435994625091553,0.05640053749084473
distilroberta-base,2,N_Q_nonequivalent,non_equivalent,The robot confirmed the answer.,Could the robot fail to confirm the answer?,Is it false that the robot confirmed the answer?,2.1262972354888916,2.1562857627868652,1.4194936752319336,0.6629147296399317,0.7803593277931213,0.21964067220687866
distilroberta-base,2,N_T_nonequivalent,non_equivalent,The robot confirmed the answer.,The robot will fail to confirm the answer tomorrow.,The robot failed to have confirmed the answer earlier.,2.0283477306365967,2.1337192058563232,1.327359914779663,0.6378368897149442,0.797734260559082,0.20226573944091797
distilroberta-base,2,M_T_nonequivalent,non_equivalent,The robot confirmed the answer.,The robot will allegedly confirm the answer tomorrow.,The robot was allegedly going to confirm the answer.,1.65885329246521,1.6956764459609985,1.3085607290267944,0.7801753635011331,0.6958675384521484,0.30413246154785156
distilroberta-base,2,Q_M_nonequivalent,non_equivalent,The robot confirmed the answer.,Could the robot allegedly confirm the answer?,Is it alleged that the robot confirmed the answer?,1.8138822317123413,2.1399435997009277,1.277359962463379,0.6461387106705956,0.8035179376602173,0.19648206233978271
distilroberta-base,3,N_M_equivalent,equivalent,The doctor guarded the treasure.,The doctor allegedly failed to guard the treasure.,"Allegedly, the doctor failed to guard the treasure.",1.6505670547485352,2.297980785369873,1.3240073919296265,0.6706300369349212,0.8241680860519409,0.17583191394805908
distilroberta-base,3,M_T_equivalent,equivalent,The doctor guarded the treasure.,The doctor will allegedly guard the treasure tomorrow.,"Allegedly, the doctor will guard the treasure tomorrow.",1.6176555156707764,2.220736503601074,1.4377814531326294,0.7491582130814401,0.762900173664093,0.23709982633590698
distilroberta-base,3,Q_M_equivalent,equivalent,The doctor guarded the treasure.,Could the doctor allegedly guard the treasure?,"Allegedly, could the doctor guard the treasure?",1.78331458568573,2.216261386871338,1.2674119472503662,0.633773157927755,0.8204978704452515,0.17950212955474854
distilroberta-base,3,Q_T_equivalent,equivalent,The doctor guarded the treasure.,Will the doctor guard the treasure tomorrow?,Could the doctor guard the treasure tomorrow?,1.9999139308929443,1.9827784299850464,0.6442772746086121,0.3235385594614476,0.9476975202560425,0.05230247974395752
distilroberta-base,3,N_Q_nonequivalent,non_equivalent,The doctor guarded the treasure.,Could the doctor fail to guard the treasure?,Is it false that the doctor guarded the treasure?,2.0417139530181885,2.1511197090148926,1.5228341817855835,0.7263985669521855,0.7373555302619934,0.2626444697380066
distilroberta-base,3,N_T_nonequivalent,non_equivalent,The doctor guarded the treasure.,The doctor will fail to guard the treasure tomorrow.,The doctor failed to have guarded the treasure earlier.,2.005736827850342,1.996760606765747,1.4606404304504395,0.7298645179967798,0.7336576581001282,0.2663423418998718
distilroberta-base,3,M_T_nonequivalent,non_equivalent,The doctor guarded the treasure.,The doctor will allegedly guard the treasure tomorrow.,The doctor was allegedly going to guard the treasure.,1.6176555156707764,1.8373388051986694,1.3728156089782715,0.7946847267939989,0.6910750865936279,0.30892491340637207
distilroberta-base,3,Q_M_nonequivalent,non_equivalent,The doctor guarded the treasure.,Could the doctor allegedly guard the treasure?,Is it alleged that the doctor guarded the treasure?,1.78331458568573,2.1700425148010254,1.514113187789917,0.765988575938524,0.7231197357177734,0.27688026428222656
distilroberta-base,4,N_M_equivalent,equivalent,The knight approved the treatment.,The knight allegedly failed to approve the treatment.,"Allegedly, the knight failed to approve the treatment.",1.8875614404678345,2.5108015537261963,1.2636160850524902,0.5745847201424377,0.8725234270095825,0.12747657299041748
distilroberta-base,4,M_T_equivalent,equivalent,The knight approved the treatment.,The knight will allegedly approve the treatment tomorrow.,"Allegedly, the knight will approve the treatment tomorrow.",1.6594007015228271,2.3447797298431396,1.384820580482483,0.6916874023128774,0.8139283657073975,0.18607163429260254
distilroberta-base,4,Q_M_equivalent,equivalent,The knight approved the treatment.,Could the knight allegedly approve the treatment?,"Allegedly, could the knight approve the treatment?",2.0814812183380127,2.540997266769409,1.2459964752197266,0.5391032015545365,0.8731949925422668,0.12680500745773315
distilroberta-base,4,Q_T_equivalent,equivalent,The knight approved the treatment.,Will the knight approve the treatment tomorrow?,Could the knight approve the treatment tomorrow?,1.9813140630722046,2.000067710876465,0.6167194247245789,0.3098017018913596,0.9520549178123474,0.04794508218765259
distilroberta-base,4,N_Q_nonequivalent,non_equivalent,The knight approved the treatment.,Could the knight fail to approve the treatment?,Is it false that the knight approved the treatment?,2.195798873901367,2.257075071334839,1.5144245624542236,0.6802009583377998,0.7689983248710632,0.23100167512893677
distilroberta-base,4,N_T_nonequivalent,non_equivalent,The knight approved the treatment.,The knight will fail to approve the treatment tomorrow.,The knight failed to have approved the treatment earlier.,2.109686851501465,2.194166898727417,1.4643959999084473,0.6805045361171435,0.7691383361816406,0.23086166381835938
distilroberta-base,4,M_T_nonequivalent,non_equivalent,The knight approved the treatment.,The knight will allegedly approve the treatment tomorrow.,The knight was allegedly going to approve the treatment.,1.6594007015228271,2.007794141769409,1.3666366338729858,0.7453308003920173,0.7379266619682312,0.2620733380317688
distilroberta-base,4,Q_M_nonequivalent,non_equivalent,The knight approved the treatment.,Could the knight allegedly approve the treatment?,Is it alleged that the knight approved the treatment?,2.0814812183380127,2.346043348312378,1.3423579931259155,0.6063695290304666,0.8226658701896667,0.17733412981033325
distilroberta-base,5,N_M_equivalent,equivalent,The analyst verified the report.,The analyst allegedly failed to verify the report.,"Allegedly, the analyst failed to verify the report.",2.083130121231079,2.491650342941284,1.1321208477020264,0.4949399677504947,0.892609179019928,0.10739082098007202
distilroberta-base,5,M_T_equivalent,equivalent,The analyst verified the report.,The analyst will allegedly verify the report tomorrow.,"Allegedly, the analyst will verify the report tomorrow.",1.6068834066390991,2.2404356002807617,1.2474730014801025,0.6484895061915715,0.8396162986755371,0.1603837013244629
distilroberta-base,5,Q_M_equivalent,equivalent,The analyst verified the report.,Could the analyst allegedly verify the report?,"Allegedly, could the analyst verify the report?",2.048203229904175,2.4070370197296143,1.147892951965332,0.5153001354120784,0.8794247508049011,0.12057524919509888
distilroberta-base,5,Q_T_equivalent,equivalent,The analyst verified the report.,Will the analyst verify the report tomorrow?,Could the analyst verify the report tomorrow?,1.9007792472839355,1.9316250085830688,0.664687991142273,0.346877806601096,0.9399635791778564,0.060036420822143555
distilroberta-base,5,N_Q_nonequivalent,non_equivalent,The analyst verified the report.,Could the analyst fail to verify the report?,Is it false that the analyst verified the report?,2.255141496658325,2.238398551940918,1.3972467184066772,0.6218912942999649,0.8066506385803223,0.19334936141967773
distilroberta-base,5,N_T_nonequivalent,non_equivalent,The analyst verified the report.,The analyst will fail to verify the report tomorrow.,The analyst failed to have verified the report earlier.,1.93805730342865,2.263248920440674,1.3376344442367554,0.6367707436494274,0.8080940246582031,0.19190597534179688
distilroberta-base,5,M_T_nonequivalent,non_equivalent,The analyst verified the report.,The analyst will allegedly verify the report tomorrow.,The analyst was allegedly going to verify the report.,1.6068834066390991,2.100090980529785,1.4409879446029663,0.777446938716353,0.7283838391304016,0.2716161608695984
distilroberta-base,5,Q_M_nonequivalent,non_equivalent,The analyst verified the report.,Could the analyst allegedly verify the report?,Is it alleged that the analyst verified the report?,2.048203229904175,2.3269734382629395,1.3114516735076904,0.599496556584306,0.8277220726013184,0.17227792739868164
distilroberta-base,6,N_M_equivalent,equivalent,The queen opened the portal.,The queen allegedly failed to open the portal.,"Allegedly, the queen failed to open the portal.",1.7325770854949951,2.3748722076416016,1.2885686159133911,0.6274300783534523,0.8483630418777466,0.15163695812225342
distilroberta-base,6,M_T_equivalent,equivalent,The queen opened the portal.,The queen will allegedly open the portal tomorrow.,"Allegedly, the queen will open the portal tomorrow.",1.695296049118042,2.2995595932006836,1.3516651391983032,0.6767028700006202,0.8125061392784119,0.18749386072158813
distilroberta-base,6,Q_M_equivalent,equivalent,The queen opened the portal.,Could the queen allegedly open the portal?,"Allegedly, could the queen open the portal?",1.9331988096237183,2.3507401943206787,1.244350552558899,0.5809375676976697,0.8488191962242126,0.15118080377578735
distilroberta-base,6,Q_T_equivalent,equivalent,The queen opened the portal.,Will the queen open the portal tomorrow?,Could the queen open the portal tomorrow?,1.929202914237976,1.9069850444793701,0.6641537547111511,0.3462571499926551,0.9401180148124695,0.05988198518753052
distilroberta-base,6,N_Q_nonequivalent,non_equivalent,The queen opened the portal.,Could the queen fail to open the portal?,Is it false that the queen opened the portal?,2.08874249458313,2.1944382190704346,1.5081818103790283,0.7042344982413039,0.753094494342804,0.24690550565719604
distilroberta-base,6,N_T_nonequivalent,non_equivalent,The queen opened the portal.,The queen will fail to open the portal tomorrow.,The queen failed to have opened the portal earlier.,2.0226809978485107,2.114711046218872,1.3488831520080566,0.6520451229375623,0.7883033156394958,0.21169668436050415
distilroberta-base,6,M_T_nonequivalent,non_equivalent,The queen opened the portal.,The queen will allegedly open the portal tomorrow.,The queen was allegedly going to open the portal.,1.695296049118042,1.8770116567611694,1.336345911026001,0.7481695425206117,0.7245835661888123,0.27541643381118774
distilroberta-base,6,Q_M_nonequivalent,non_equivalent,The queen opened the portal.,Could the queen allegedly open the portal?,Is it alleged that the queen opened the portal?,1.9331988096237183,2.291553020477295,1.4330629110336304,0.6784128245462823,0.7827042937278748,0.21729570627212524
distilroberta-base,7,N_M_equivalent,equivalent,The alien confirmed the answer.,The alien allegedly failed to confirm the answer.,"Allegedly, the alien failed to confirm the answer.",1.8819787502288818,2.419949531555176,1.188036561012268,0.5523274602425606,0.8768174648284912,0.12318253517150879
distilroberta-base,7,M_T_equivalent,equivalent,The alien confirmed the answer.,The alien will allegedly confirm the answer tomorrow.,"Allegedly, the alien will confirm the answer tomorrow.",1.7310506105422974,2.3127896785736084,1.301080584526062,0.6434876214213051,0.8308515548706055,0.16914844512939453
