model,language,template_id,representation,contrast,value
BAAI/bge-m3,en,0,marker_pool,affect_minus_random_label,0.11536327004432684
BAAI/bge-m3,en,0,mean_pool,affect_minus_random_label,0.03278195858001709
BAAI/bge-m3,en,1,marker_pool,affect_minus_random_label,0.09361958503723145
BAAI/bge-m3,en,1,mean_pool,affect_minus_random_label,-0.03463730216026312
BAAI/bge-m3,en,2,marker_pool,affect_minus_random_label,-0.0002086162567138672
BAAI/bge-m3,en,2,mean_pool,affect_minus_random_label,-0.07861018180847168
BAAI/bge-m3,en,3,marker_pool,affect_minus_random_label,0.022957444190979004
BAAI/bge-m3,en,3,mean_pool,affect_minus_random_label,-0.13199734687805176
BAAI/bge-m3,en,4,marker_pool,affect_minus_random_label,0.05536603927612305
BAAI/bge-m3,en,4,mean_pool,affect_minus_random_label,-0.07286673784255981
BAAI/bge-m3,en,5,marker_pool,affect_minus_random_label,0.03790360689163208
BAAI/bge-m3,en,5,mean_pool,affect_minus_random_label,-0.10734045505523682
BAAI/bge-m3,en,6,marker_pool,affect_minus_random_label,0.037405967712402344
BAAI/bge-m3,en,6,mean_pool,affect_minus_random_label,-0.08524966239929199
BAAI/bge-m3,en,7,marker_pool,affect_minus_random_label,0.08396661281585693
BAAI/bge-m3,en,7,mean_pool,affect_minus_random_label,-0.008332252502441462
BAAI/bge-m3,en,8,marker_pool,affect_minus_random_label,0.05805766582489014
BAAI/bge-m3,en,8,mean_pool,affect_minus_random_label,-0.10897615551948547
BAAI/bge-m3,en,9,marker_pool,affect_minus_random_label,0.08547589182853699
BAAI/bge-m3,en,9,mean_pool,affect_minus_random_label,-0.05729511380195618
BAAI/bge-m3,en,10,marker_pool,affect_minus_random_label,0.061204105615615845
BAAI/bge-m3,en,10,mean_pool,affect_minus_random_label,0.0031905174255371094
BAAI/bge-m3,en,11,marker_pool,affect_minus_random_label,0.0437774658203125
BAAI/bge-m3,en,11,mean_pool,affect_minus_random_label,-0.09783276915550232
BAAI/bge-m3,en,12,marker_pool,affect_minus_random_label,0.09742772579193121
BAAI/bge-m3,en,12,mean_pool,affect_minus_random_label,0.026088625192642212
BAAI/bge-m3,en,13,marker_pool,affect_minus_random_label,0.05139988660812378
BAAI/bge-m3,en,13,mean_pool,affect_minus_random_label,-0.07199317216873169
BAAI/bge-m3,en,14,marker_pool,affect_minus_random_label,0.037541747093200684
BAAI/bge-m3,en,14,mean_pool,affect_minus_random_label,-0.09269636869430542
BAAI/bge-m3,en,15,marker_pool,affect_minus_random_label,0.05387753248214722
BAAI/bge-m3,en,15,mean_pool,affect_minus_random_label,0.008069336414337158
BAAI/bge-m3,en,16,marker_pool,affect_minus_random_label,0.10509383678436285
BAAI/bge-m3,en,16,mean_pool,affect_minus_random_label,-0.019208461046218928
BAAI/bge-m3,en,17,marker_pool,affect_minus_random_label,0.10281381011009222
BAAI/bge-m3,en,17,mean_pool,affect_minus_random_label,0.0404801070690155
BAAI/bge-m3,en,18,marker_pool,affect_minus_random_label,0.08475416898727417
BAAI/bge-m3,en,18,mean_pool,affect_minus_random_label,-0.05217605829238897
