model,feature,train_languages,test_languages,accuracy,macro_f1,chance,n_train,n_test
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,"es,fr,de,ru,zh,ar",en,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_endpoint_only,"es,fr,de,ru,zh,ar",en,0.9930555555555556,0.993054801953337,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_endpoint_only,"es,fr,de,ru,zh,ar",en,0.8888888888888888,0.8793080663153922,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_delta_only,"es,fr,de,ru,zh,ar",en,0.9895833333333334,0.9895731508634734,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_delta_only,"es,fr,de,ru,zh,ar",en,0.9114583333333334,0.9063118918453457,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,commutator_delta,"es,fr,de,ru,zh,ar",en,0.96875,0.9688300167132469,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,"en,fr,de,ru,zh,ar",es,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_endpoint_only,"en,fr,de,ru,zh,ar",es,0.8350694444444444,0.8356780755712038,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_endpoint_only,"en,fr,de,ru,zh,ar",es,0.9444444444444444,0.9439190912945962,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_delta_only,"en,fr,de,ru,zh,ar",es,0.8663194444444444,0.8660248695982862,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_delta_only,"en,fr,de,ru,zh,ar",es,0.8958333333333334,0.8952940066707451,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,commutator_delta,"en,fr,de,ru,zh,ar",es,0.9496527777777778,0.9497976562948817,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,"en,es,de,ru,zh,ar",fr,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_endpoint_only,"en,es,de,ru,zh,ar",fr,0.8489583333333334,0.8422182846912237,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_endpoint_only,"en,es,de,ru,zh,ar",fr,0.9288194444444444,0.9284562492026799,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_delta_only,"en,es,de,ru,zh,ar",fr,0.8819444444444444,0.8737398897587961,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_delta_only,"en,es,de,ru,zh,ar",fr,0.9253472222222222,0.925091678339342,0.16666666666666666,3456,576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,commutator_delta,"en,es,de,ru,zh,ar",fr,0.8923611111111112,0.8914522856545926,0.16666666666666666,3456,576
