model,language,template_id,triple,relative_signed_permutation_norm,null_mean,null_std,ratio_to_null_mean,null_percentile_smaller_is_better,p_smaller_or_equal_null
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,NQM,0.4095994830131531,0.8545523188710212,0.5200233297404359,0.4793146937495997,34.425000000000004,0.39780109945027486
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,NQT,0.48987409472465515,0.6283092001676559,0.19988367217581524,0.7796704148103499,24.85,0.49725137431284355
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,NMT,0.3493107557296753,0.4980333284139633,0.24231527770724076,0.7013802807964454,9.575000000000001,0.191904047976012
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,QMT,0.4887094795703888,0.6700724014192819,0.2503687383619607,0.729338320059926,34.825,0.6006996501749126
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,NQM,0.43877673149108887,0.6593855028301477,0.319460627168049,0.6654327849295296,25.5,0.3103448275862069
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,NQT,0.48648205399513245,0.625612702652812,0.22431019739330532,0.7776089774576258,30.875,0.6176911544227887
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,NMT,0.3489020764827728,0.48958313737809656,0.23044809443171008,0.7126513350736775,11.025,0.22088955522238882
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,QMT,0.37383776903152466,0.5580481666624546,0.22448955374881946,0.6699023334610777,29.1,0.5822088955522239
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,NQM,0.364286869764328,0.5865258104652167,0.2939321174532261,0.6210926497416444,34.675000000000004,0.3963018490754623
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,NQT,0.4510738253593445,0.555907217592001,0.2097509710954427,0.8114192640139299,30.525000000000002,0.6106946526736632
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,NMT,0.3507678210735321,0.4651754453033209,0.2154416927201045,0.7540548939423436,5.4750000000000005,0.10994502748625687
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,QMT,0.44102874398231506,0.5410371631085873,0.19186302284084386,0.8151542519695353,53.650000000000006,0.584207896051974
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,NQM,0.39561209082603455,0.7101621716320514,0.3844298326184619,0.5570728864877523,34.6,0.3968015992003998
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,NQT,0.44764330983161926,0.584268230304122,0.1963649647080815,0.7661606204360056,4.525,0.09095452273863068
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,NMT,0.36537131667137146,0.4548024902641773,0.22236498633374252,0.8033626123250511,10.5,0.21039480259870064
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,QMT,0.47346237301826477,0.6559283247739076,0.24658759771484956,0.7218202891005523,5.0,0.10044977511244378
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,4,NQM,0.5390761494636536,0.7467926293611526,0.2685486042892923,0.7218552088872209,19.200000000000003,0.3843078460769615
