model,language,template_id,pair,relative_commutator_norm,commutator_norm,cosine_ab_ba,noncommutativity
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,NQ_vs_QN,0.6570460200309753,1.1517325639724731,0.7961603403091431,0.20383965969085693
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,NM_vs_MN,0.14086580276489258,0.37930718064308167,0.9902420043945312,0.00975799560546875
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,NT_vs_TN,0.37863436341285706,1.0793449878692627,0.9288513660430908,0.07114863395690918
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,QM_vs_MQ,0.4738355875015259,0.7535166144371033,0.8879607915878296,0.11203920841217041
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,QT_vs_TQ,0.6475863456726074,1.13263738155365,0.7903667688369751,0.2096332311630249
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,0,MT_vs_TM,0.1063714325428009,0.14923183619976044,0.9945070743560791,0.0054929256439208984
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,NQ_vs_QN,0.5098939538002014,1.126020073890686,0.8796530961990356,0.12034690380096436
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,NM_vs_MN,0.10609540343284607,0.33966952562332153,0.9943985939025879,0.005601406097412109
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,NT_vs_TN,0.3732491433620453,1.227645993232727,0.9319342374801636,0.06806576251983643
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,QM_vs_MQ,0.3435935974121094,0.6709146499633789,0.942474365234375,0.057525634765625
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,QT_vs_TQ,0.5675591826438904,1.1237564086914062,0.8403151035308838,0.1596848964691162
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,1,MT_vs_TM,0.23279288411140442,0.29532384872436523,0.9765970706939697,0.023402929306030273
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,NQ_vs_QN,0.4532095789909363,0.9734300971031189,0.9106792211532593,0.08932077884674072
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,NM_vs_MN,0.09945160895586014,0.33267685770988464,0.9950610995292664,0.004938900470733643
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,NT_vs_TN,0.37760865688323975,1.2756763696670532,0.9327120780944824,0.06728792190551758
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,QM_vs_MQ,0.2879487872123718,0.5622056722640991,0.9585879445075989,0.04141205549240112
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,QT_vs_TQ,0.43712863326072693,0.8154371976852417,0.9051668643951416,0.0948331356048584
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,2,MT_vs_TM,0.1951393187046051,0.30466046929359436,0.9842153787612915,0.015784621238708496
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,NQ_vs_QN,0.5506611466407776,1.0902303457260132,0.856995701789856,0.14300429821014404
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,NM_vs_MN,0.05772126466035843,0.1762179285287857,0.9983455538749695,0.0016544461250305176
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,NT_vs_TN,0.39246895909309387,1.2699792385101318,0.9241692423820496,0.07583075761795044
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,QM_vs_MQ,0.44092002511024475,0.7793920040130615,0.9028207659721375,0.09717923402786255
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,QT_vs_TQ,0.5784433484077454,1.1121219396591187,0.8328614830970764,0.16713851690292358
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,3,MT_vs_TM,0.081581711769104,0.1370471864938736,0.9970982074737549,0.002901792526245117
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,4,NQ_vs_QN,0.5403693318367004,1.0407400131225586,0.8766855597496033,0.12331444025039673
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,4,NM_vs_MN,0.07485392689704895,0.2269304394721985,0.9972317814826965,0.002768218517303467
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,4,NT_vs_TN,0.45958495140075684,1.4804497957229614,0.8991481065750122,0.10085189342498779
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,4,QM_vs_MQ,0.3843974471092224,0.6205835938453674,0.926217794418335,0.07378220558166504
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,4,QT_vs_TQ,0.49646496772766113,0.8247215151786804,0.8802788257598877,0.1197211742401123
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,4,MT_vs_TM,0.12188094109296799,0.1551421880722046,0.9941591024398804,0.005840897560119629
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,5,NQ_vs_QN,0.5764588713645935,1.2162487506866455,0.8419853448867798,0.15801465511322021
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,5,NM_vs_MN,0.15136633813381195,0.46849775314331055,0.9886037111282349,0.011396288871765137
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,5,NT_vs_TN,0.37114647030830383,1.2119898796081543,0.9312807321548462,0.06871926784515381
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,5,QM_vs_MQ,0.40484243631362915,0.7807149887084961,0.9180630445480347,0.08193695545196533
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,5,QT_vs_TQ,0.6529023051261902,1.309823751449585,0.78693687915802,0.21306312084197998
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,5,MT_vs_TM,0.1033206582069397,0.157700777053833,0.9948177337646484,0.0051822662353515625
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,6,NQ_vs_QN,0.5114194750785828,1.0486068725585938,0.8858388662338257,0.11416113376617432
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,6,NM_vs_MN,0.0426001250743866,0.12953788042068481,0.9990967512130737,0.0009032487869262695
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,6,NT_vs_TN,0.3235936164855957,1.0109182596206665,0.9476435780525208,0.05235642194747925
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,6,QM_vs_MQ,0.37232521176338196,0.6684179902076721,0.9307059049606323,0.06929409503936768
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,6,QT_vs_TQ,0.5565457344055176,1.0525238513946533,0.8451376557350159,0.15486234426498413
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,6,MT_vs_TM,0.09896186739206314,0.12236904352903366,0.9951080083847046,0.00489199161529541
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,7,NQ_vs_QN,0.500426173210144,1.1652214527130127,0.8857095837593079,0.11429041624069214
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,7,NM_vs_MN,0.05533390864729881,0.1877012848854065,0.9984862804412842,0.0015137195587158203
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,7,NT_vs_TN,0.3949430584907532,1.3314591646194458,0.9224238991737366,0.07757610082626343
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,7,QM_vs_MQ,0.3941121995449066,0.7725558280944824,0.9250390529632568,0.07496094703674316
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,7,QT_vs_TQ,0.5739381909370422,1.2050758600234985,0.8360139727592468,0.16398602724075317
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,7,MT_vs_TM,0.21690399944782257,0.22838206589221954,0.9779594540596008,0.02204054594039917
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,8,NQ_vs_QN,0.47106027603149414,1.037208080291748,0.9070090055465698,0.09299099445343018
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,8,NM_vs_MN,0.039399802684783936,0.12528565526008606,0.9992243051528931,0.0007756948471069336
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,8,NT_vs_TN,0.30591505765914917,1.0017602443695068,0.9532085657119751,0.0467914342880249
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,8,QM_vs_MQ,0.3462706208229065,0.6541397571563721,0.9400539994239807,0.05994600057601929
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,8,QT_vs_TQ,0.5202241539955139,1.0398852825164795,0.8647401332855225,0.13525986671447754
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,8,MT_vs_TM,0.09605005383491516,0.11945873498916626,0.9953888058662415,0.004611194133758545
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,9,NQ_vs_QN,0.4982341229915619,1.0553754568099976,0.8851199150085449,0.11488008499145508
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,9,NM_vs_MN,0.05903758853673935,0.19031864404678345,0.9982735514640808,0.0017264485359191895
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,9,NT_vs_TN,0.4600221812725067,1.4855594635009766,0.8960524797439575,0.10394752025604248
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,9,QM_vs_MQ,0.3793567419052124,0.6772599816322327,0.9324242472648621,0.06757575273513794
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,9,QT_vs_TQ,0.5500448942184448,1.054274320602417,0.8494701385498047,0.1505298614501953
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,9,MT_vs_TM,0.21177175641059875,0.2825542390346527,0.9837760925292969,0.016223907470703125
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,10,NQ_vs_QN,0.507588803768158,1.2214813232421875,0.8806113600730896,0.1193886399269104
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,10,NM_vs_MN,0.046125590801239014,0.15449415147304535,0.9990106821060181,0.0009893178939819336
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,10,NT_vs_TN,0.4505266845226288,1.5886279344558716,0.8986417055130005,0.10135829448699951
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,10,QM_vs_MQ,0.3735564947128296,0.7913998961448669,0.930235743522644,0.06976425647735596
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,10,QT_vs_TQ,0.5782199501991272,1.2983053922653198,0.8330205678939819,0.16697943210601807
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,10,MT_vs_TM,0.12384042143821716,0.1883160024881363,0.9923408031463623,0.007659196853637695
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,11,NQ_vs_QN,0.6117671132087708,1.319333791732788,0.8162808418273926,0.18371915817260742
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,11,NM_vs_MN,0.06603700667619705,0.20122520625591278,0.9978196024894714,0.0021803975105285645
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,11,NT_vs_TN,0.5091435313224792,1.6385520696640015,0.8704489469528198,0.12955105304718018
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,11,QM_vs_MQ,0.5027148723602295,1.0109244585037231,0.8738923072814941,0.12610769271850586
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,11,QT_vs_TQ,0.6787853240966797,1.454537034034729,0.7700904607772827,0.22990953922271729
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,11,MT_vs_TM,0.08706313371658325,0.14062194526195526,0.9962534308433533,0.0037465691566467285
