split,base_id,syntax_family,class,source,target,source_idx,target_idx
train,train_0,simple_svo,negation,The student found the system.,The student never found the system.,0,875
train,train_0,simple_svo,question,The student found the system.,Could the student have found the system?,0,876
train,train_0,simple_svo,future,The student found the system.,The student will find the system.,0,877
train,train_0,simple_svo,uncertainty,The student found the system.,The student might have found the system.,0,878
train,train_0,simple_svo,passive,The student found the system.,The system had been found by the student.,0,879
train,train_0,simple_svo,formalization,The student found the system.,It is true that the student found the system.,0,880
train,train_0,with_context,negation,The student found the system after the discussion.,The student never found the system after the discussion.,1,881
train,train_0,with_context,question,The student found the system after the discussion.,Did the student find the system after the discussion?,1,882
train,train_0,with_context,future,The student found the system after the discussion.,The student is going to find the system after the discussion.,1,883
train,train_0,with_context,uncertainty,The student found the system after the discussion.,The student may have found the system after the discussion.,1,884
train,train_0,with_context,passive,The student found the system after the discussion.,The system had been found by the student after the discussion.,1,885
train,train_0,with_context,formalization,The student found the system after the discussion.,The fact is that the student found the system after the discussion.,1,886
train,train_1,simple_svo,negation,The scientist explained a black cat.,The scientist did not explain a black cat.,2,887
train,train_1,simple_svo,question,The scientist explained a black cat.,Could the scientist have explained a black cat?,2,888
train,train_1,simple_svo,future,The scientist explained a black cat.,The scientist will explain a black cat.,2,889
train,train_1,simple_svo,uncertainty,The scientist explained a black cat.,The scientist may have explained a black cat.,2,890
train,train_1,simple_svo,passive,The scientist explained a black cat.,A black cat had been explained by the scientist.,2,891
train,train_1,simple_svo,formalization,The scientist explained a black cat.,It is true that the scientist explained a black cat.,2,892
train,train_1,with_context,negation,The scientist explained a black cat before the deadline.,The scientist never explained a black cat before the deadline.,3,893
train,train_1,with_context,question,The scientist explained a black cat before the deadline.,Could the scientist have explained a black cat before the deadline?,3,894
train,train_1,with_context,future,The scientist explained a black cat before the deadline.,The scientist is going to explain a black cat before the deadline.,3,895
train,train_1,with_context,uncertainty,The scientist explained a black cat before the deadline.,The scientist might have explained a black cat before the deadline.,3,896
train,train_1,with_context,passive,The scientist explained a black cat before the deadline.,A black cat was explained by the scientist before the deadline.,3,897
train,train_1,with_context,formalization,The scientist explained a black cat before the deadline.,It is true that the scientist explained a black cat before the deadline.,3,898
train,train_2,simple_svo,negation,The writer prepared the decision.,The writer did not prepare the decision.,4,899
train,train_2,simple_svo,question,The writer prepared the decision.,Did the writer prepare the decision?,4,900
train,train_2,simple_svo,future,The writer prepared the decision.,The writer is going to prepare the decision.,4,901
train,train_2,simple_svo,uncertainty,The writer prepared the decision.,The writer may have prepared the decision.,4,902
train,train_2,simple_svo,passive,The writer prepared the decision.,The decision was prepared by the writer.,4,903
train,train_2,simple_svo,formalization,The writer prepared the decision.,The fact is that the writer prepared the decision.,4,904
train,train_2,with_context,negation,The writer prepared the decision after the discussion.,The writer never prepared the decision after the discussion.,5,905
train,train_2,with_context,question,The writer prepared the decision after the discussion.,Could the writer have prepared the decision after the discussion?,5,906
train,train_2,with_context,future,The writer prepared the decision after the discussion.,The writer is going to prepare the decision after the discussion.,5,907
train,train_2,with_context,uncertainty,The writer prepared the decision after the discussion.,The writer might have prepared the decision after the discussion.,5,908
train,train_2,with_context,passive,The writer prepared the decision after the discussion.,The decision had been prepared by the writer after the discussion.,5,909
train,train_2,with_context,formalization,The writer prepared the decision after the discussion.,It is true that the writer prepared the decision after the discussion.,5,910
train,train_3,simple_svo,negation,The scientist created the patient.,The scientist never created the patient.,6,911
train,train_3,simple_svo,question,The scientist created the patient.,Could the scientist have created the patient?,6,912
